,Request: Request Number  ↑,Product,DOC ID,Question,accuracy,extracted_sentence_1,keywords_1,Document_Name_1,DOC_ID_1,new_keywords_1,score_1,extracted_sentence_2,keywords_2,Document_Name_2,DOC_ID_2,new_keywords_2,score_2,extracted_sentence_3,keywords_3,Document_Name_3,DOC_ID_3,new_keywords_3,score_3
34,,Ozempic,OSEM 092,"Dr. Hart wants to know if there are any studies concerning prescribing Rybelsus or Ozempic for patients who have had gastric bypass surgery. If no studies, can you give any information for this type of patient.",not accurate,dr hart want know studi concern prescrib rybelsu ozemp patient gastric bypass surgeri studi    inform type patient,"bariatric,gastric,bypass,sleeve,surgery",Bariatric Surgery (SEM 154) (v6.0),SEM 154,"bariatr , gastric , bypass , sleev , surgeri",60,dr hart want know studi concern prescrib rybelsu ozemp patient gastric bypass surgeri studi    inform type patient,"ozempic,semaglutide injection,drug,interaction",Drug Interactions (SEM 158) (v10.0),SEM 158,"ozemp , semaglutid inject , drug , interact",25,dr hart want know studi concern prescrib rybelsu ozemp patient gastric bypass surgeri studi    inform type patient,"surgery,operation,pre-op,npo,procedure,anesthesia",Surgery (SEM 160) (v4.0),SEM 160,"surgeri , oper , pre - op , npo , procedur , anesthesia",16.66666667
35,REQ-43605,Ozempic,SEM 125,"Patient with egfr of 12, can I put her on Ozempic?  Patient has type 2.  And on dialysis.",accurate with one of docID,patient egfr 12    ozemp    patient type 2    dialysi,"renal,kidney,dialysis,esrd,gfr,egfr,creatinine,clearance,crcl,nephrotic,transplant",Renal Impairment (SEM 125) (v13.0),SEM 125,"renal , kidney , dialysi , esrd , gfr , egfr , creatinin , clearanc , crcl , nephrot , transplant",27.27272727,patient egfr 12    ozemp    patient type 2    dialysi,"ozempic,semaglutide injection,drug,interaction",Drug Interactions (SEM 158) (v10.0),SEM 158,"ozemp , semaglutid inject , drug , interact",25,patient egfr 12    ozemp    patient type 2    dialysi,"ozempic,glucose,semaglutide,fasting,fpg,preprandial",Fasting Plasma Glucose (FPG) (SEM 025) (v9.0),SEM 025,"ozemp , glucos , semaglutid , fast , fpg , preprandi",16.66666667
36,REQ-43607,Ozempic,SEM 012,Dr. Nosser wanted information about if a patient who had thyroid cancer and had their thyroid removed was eligible for Ozempic.,not accurate,dr nosser want inform patient thyroid cancer thyroid remov elig ozemp,"neoplasms,cancer,neoplasm",Neoplasms  (SEM 134) (v7.0),SEM 134,"neoplasm , cancer , neoplasm",50,dr nosser want inform patient thyroid cancer thyroid remov elig ozemp,"ozempic,semaglutide injection,drug,interaction",Drug Interactions (SEM 158) (v10.0),SEM 158,"ozemp , semaglutid inject , drug , interact",25,dr nosser want inform patient thyroid cancer thyroid remov elig ozemp,"pancreatic,cancer,neoplasm,neoplasms,pancreas,pancreatic cancer",Pancreatic Cancer (SEM 032) (v9.0),SEM 032,"pancreat , cancer , neoplasm , neoplasm , pancrea , pancreat cancer",20
37,REQ-43608,Saxenda,SAX 062,“What if they had thyroid cancer but it is not medullary?,not accurate,thyroid cancer medullari,"thyroid,thyroid neoplasms,mtc,men 2,calcitonin",Thyroid Neoplasms (SAX 018) (v1.0),SAX 018,"thyroid , thyroid neoplasm , mtc , man 2,calcitonin",20,thyroid cancer medullari,"cancer,tumor,oncology,neoplasm,carcinoma,breast",Breast Neoplasms (SAX 010) (v7.0),SAX 010,"cancer , tumor , oncolog , neoplasm , carcinoma , breast",16.66666667,thyroid cancer medullari,"pancreas,cancer,pancreatic,tumor,oncology,neoplasm,carcinoma",Pancreatic Cancer (SAX 015) (v7.0),SAX 015,"pancrea , cancer , pancreat , tumor , oncolog , neoplasm , carcinoma",14.28571429
38,REQ-43610,Wegovy,SEOB 049,"Please e-mail HCP the following Med Info letter:
- SEOB 049 - Switching from Saxenda",accurate with one of docID,email hcp follow med info letter seob 049    switch saenda,"ozempic,switch,transition",Switching from Ozempic (SEOB 065) (v7.0),SEOB 065,"ozemp , switch , transit",33.33333333,email hcp follow med info letter seob 049    switch saenda,"switch,transition,saxenda,liraglutide",Switching from Saxenda (SEOB 049) (v6.0),SEOB 049,"switch , transit , saxenda , liraglutid",25,email hcp follow med info letter seob 049    switch saenda,"rybelsus,switch,transition,tablets,oral",Switching from Rybelsus (SEOB 118) (v2.0),SEOB 118,"rybelsu , switch , transit , tablet , oral",20
39,REQ-43612,Rybelsus,OSEM 005,All information on Rybelsus cv data and studies,not accurate,inform rybelsu cv datum studi,"cv,rybelsus,ozempic,semglutide,indication",Rybelsus vs Ozempic-CV Indication (OSEM 133) (v5.0),OSEM 133,"cv , rybelsu , ozemp , semglutid , indic",40,inform rybelsu cv datum studi,"soul,cardiovascular outcomes,cv,ongoing",Rybelsus and the SOUL Trial (OSEM 139) (v2.0),OSEM 139,"soul , cardiovascular outcom , cv , ongo",25,inform rybelsu cv datum studi,"safety,rybelsus,ozempic,ae",Safety vs Ozempic (OSEM 143) (v5.0),OSEM 143,"safeti , rybelsu , ozemp , ae",25
40,REQ-43613,Rybelsus,OSEM 069,Any information on Rybelsus and glp1’s and heartburn,not accurate,inform rybelsu glp1 heartburn,"safety,rybelsus,ozempic,ae",Safety vs Ozempic (OSEM 143) (v5.0),OSEM 143,"safeti , rybelsu , ozemp , ae",25,inform rybelsu glp1 heartburn,"approval,overview,glp-1,glp1",Approval and Product Overview (OSEM 010) (v12.0),OSEM 010,"approv , overview , glp-1,glp1",25,inform rybelsu glp1 heartburn,"pioneer,pioneer 1,monotherapy,placebo,p1",Media-PIONEER 1 Video (OSEM 3001) (v2.0),OSEM 3001,"pioneer , pioneer 1,monotherapi , placebo , p1",20
41,REQ-43615,Wegovy,SEOB 122,Patient started on wegovy .25 now needs the .5 pen which is not available. 1.0 pen is. Is there a way to adjust 1.0 pen to give .5? Or just try to increase to 1.0 Pt says insurance won’t cover ozempic as alternative,not accurate,patient start wegovi 25 need 5 pen avail 10 pen way adjust 10 pen 5 tri increas 10 pt say insur will not cover ozemp altern,"ozempic,versus,vs",vs Ozempic (SEOB 026) (v5.0),SEOB 026,"ozemp , versu , vs",33.33333333,patient start wegovi 25 need 5 pen avail 10 pen way adjust 10 pen 5 tri increas 10 pt say insur will not cover ozemp altern,"ozempic,switch,transition",Switching from Ozempic (SEOB 065) (v7.0),SEOB 065,"ozemp , switch , transit",33.33333333,patient start wegovi 25 need 5 pen avail 10 pen way adjust 10 pen 5 tri increas 10 pt say insur will not cover ozemp altern,"bariatric surgery,anti-obesity medications,saxenda,wegovy",Bariatric Surgery (GOBS 001) (v1.0),GOBS 001,"bariatr surgeri , anti - obes medic , saxenda , wegovi",25
42,REQ-43626,Norditropin,GHC 002,"Please email this info to the pharmacy: If unopened Norditropin® FlexPro® was left at room temperature (up to 77°F), it must be used within 3 weeks from the day it was left out. Unused portion should be discarded. Do not use past expiration date.Dr. OSCAR",not accurate,email info pharmaci unopen norditropin flepro left room temperatur    77f     3 week day leav unus portion discard use past epir datedr oscar,"product information,pi,package insert",PI Discussion (Verbal Response Only) (GEN 1001) (v2.0),GEN 1001,"product inform , pi , packag insert",33.33333333,email info pharmaci unopen norditropin flepro left room temperatur    77f     3 week day leav unus portion discard use past epir datedr oscar,"amcp,dossier,4 pg,norditropin",Norditropin Medicaid Summary-4 page (GHC 401) (v4.0),GHC 401,"amcp , dossier,4 pg , norditropin",25,email info pharmaci unopen norditropin flepro left room temperatur    77f     3 week day leav unus portion discard use past epir datedr oscar,"amcp,summary,dossier,norditropin",Norditropin Medicaid Summary - 1 page (GHC 400) (v4.0),GHC 400,"amcp , summari , dossier , norditropin",25
43,REQ-43631,Rybelsus,OSEM 139,Asked to see information from the Rybelsus SOUL trial,accurate with one of docID,ask inform rybelsu soul trial,"soul,cardiovascular outcomes,cv,ongoing",Rybelsus and the SOUL Trial (OSEM 139) (v2.0),OSEM 139,"soul , cardiovascular outcom , cv , ongo",25,ask inform rybelsu soul trial,"safety,rybelsus,ozempic,ae",Safety vs Ozempic (OSEM 143) (v5.0),OSEM 143,"safeti , rybelsu , ozemp , ae",25,ask inform rybelsu soul trial,"cv,rybelsus,ozempic,semglutide,indication",Rybelsus vs Ozempic-CV Indication (OSEM 133) (v5.0),OSEM 133,"cv , rybelsu , ozemp , semglutid , indic",20
44,REQ-43632,Rybelsus,SEOB 025,Are there any additional trials/data for weight management and Rybelsus used in the diabetes and/or obesity market.  Will Rybelsus have an indication for weight management?,not accurate,addit trial datum weight manag rybelsu diabet obes market    rybelsu indic weight manag,"cv,rybelsus,ozempic,semglutide,indication",Rybelsus vs Ozempic-CV Indication (OSEM 133) (v5.0),OSEM 133,"cv , rybelsu , ozemp , semglutid , indic",40,addit trial datum weight manag rybelsu diabet obes market    rybelsu indic weight manag,"ddi,di,interaction,levothyroxine,thyroid,omeprazole,ppi",Media-Drug Interactions Video (OSEM 3009) (v2.0),OSEM 3009,"ddi , di , interact , levothyroxin , thyroid , omeprazol , ppi",28.57142857,addit trial datum weight manag rybelsu diabet obes market    rybelsu indic weight manag,"gastrointestinal,gi,management,ae",Management of GI Adverse Events (GLP1 014) (v1.0),GLP1 014,"gastrointestin , gi , manag , ae",25
45,REQ-43634,Ozempic,SEM 105,Please send SUSTAIN 5 (SEM 105) per conversation on Ozempic add-on to basal insulin,accurate with one of docID,send sustain 5    sem 105    convers ozemp addon basal insulin,"basal,insulin,glargine,lantus",vs Basal insulin (SEM 113) (v7.0),SEM 113,"basal , insulin , glargin , lantu",50,send sustain 5    sem 105    convers ozemp addon basal insulin,"sustain,sglt-2,sglt2,add,sustain 9,sustain 9",Cover to SUSTAIN 9 (add-on SGLT-2i) (SEM 109) (v5.0),SEM 109,"sustain , sglt-2,sglt2,add , sustain 9,sustain 9",40,send sustain 5    sem 105    convers ozemp addon basal insulin,"sustain,insulin,basal,glargine,degludec,lantus,tresiba,nph",Cover to SUSTAIN 5 (add on to basal insulin) (SEM 105) (v6.0),SEM 105,"sustain , insulin , basal , glargin , degludec , lantu , tresiba , nph",37.5
46,REQ-43635,Ozempic,SEM 004,Is there an ongoing study monitoring retinopathy. Were there patients that could not complete the study because of retinopathy.,accurate with one of docID,ongo studi monitor retinopathi patient complet studi retinopathi,"retinopathy,eye,drc,diabetic retinopathy complications,diabetic retinopathy,blindness,blind,vitreous hemorrhage,retina,visual,microvascular",Retinopathy (SEM 004) (v16.0),SEM 004,"retinopathi , eye , drc , diabet retinopathi complic , diabet retinopathi , blind , blind , vitreou hemorrhag , retina , visual , microvascular",10,ongo studi monitor retinopathi patient complet studi retinopathi,excursion,Cover to Excursion Data for Novo Nordisk Products (GEN 123) (v6.0),GEN 123,excurs,0,ongo studi monitor retinopathi patient complet studi retinopathi,"niosh,hazardous",NIOSH Classification (Sema) (SEM 300) (v6.0),SEM 300,"niosh , hazard",0
47,REQ-43638,Ozempic,SEM 139,Can Ozempic be used in patients with liver impairment including cirrhosis of the liver?,accurate with one of docID,ozemp patient liver impair includ cirrhosi liver,"hepatic,liver,impairment,ast,alt,alanine aminotransferase,aspartate aminotransferase,hepatic enzymes",Hepatic Function and Impairment (SEM 139) (v8.0),SEM 139,"hepat , liver , impair , ast , alt , alanin aminotransferas , aspart aminotransferas , hepat enzym",25,ozemp patient liver impair includ cirrhosi liver,"ozempic,semaglutide injection,drug,interaction",Drug Interactions (SEM 158) (v10.0),SEM 158,"ozemp , semaglutid inject , drug , interact",25,ozemp patient liver impair includ cirrhosi liver,"ozempic,glucose,semaglutide,fasting,fpg,preprandial",Fasting Plasma Glucose (FPG) (SEM 025) (v9.0),SEM 025,"ozemp , glucos , semaglutid , fast , fpg , preprandi",16.66666667
48,REQ-43640,Wegovy,SEOB 043,HCP has questions about the use of semaglutide in a patient on dialysis (PD) with a high insulin requirement.  Please send appropriate information if available,not accurate,hcp question use semaglutid patient dialysi    pd    high insulin requir    send appropri inform avail,"t1d,type 1,insulin",Type 1 Diabetes (SEOB 054) (v1.0),SEOB 054,"t1d , type 1,insulin",33.33333333,hcp question use semaglutid patient dialysi    pd    high insulin requir    send appropri inform avail,"interaction,ddi,di,oral,hypoglycemia,insulin,sulfonylurea,secretagogue",Drug Interactions (SEOB 012) (v5.0),SEOB 012,"interact , ddi , di , oral , hypoglycemia , insulin , sulfonylurea , secretagogu",25,hcp question use semaglutid patient dialysi    pd    high insulin requir    send appropri inform avail,"pharmacokinetics,pharmacodynamics,pk,pd",PK-PD (SEOB 076) (v1.0),SEOB 076,"pharmacokinet , pharmacodynam , pk , pd",25
49,REQ-43648,Rybelsus,OSEM 112,Physician asking how to administer Rybelsus in a patient who needs to take thyroid medication too.,not accurate,physician ask administ rybelsu patient need thyroid medic,"ddi,di,interaction,levothyroxine,thyroid,omeprazole,ppi",Media-Drug Interactions Video (OSEM 3009) (v2.0),OSEM 3009,"ddi , di , interact , levothyroxin , thyroid , omeprazol , ppi",28.57142857,physician ask administ rybelsu patient need thyroid medic,"safety,rybelsus,ozempic,ae",Safety vs Ozempic (OSEM 143) (v5.0),OSEM 143,"safeti , rybelsu , ozemp , ae",25,physician ask administ rybelsu patient need thyroid medic,"cv,rybelsus,ozempic,semglutide,indication",Rybelsus vs Ozempic-CV Indication (OSEM 133) (v5.0),OSEM 133,"cv , rybelsu , ozemp , semglutid , indic",20
50,REQ-43649,Rybelsus,OSEM 040,How do nausea rates compare between ozempic and rybelsus (please include MI letter OSEM 040 in response,not accurate,nausea rate compar ozemp rybelsu    includ mi letter osem 040 respons,"nausea,nauseous",Nausea (OSEM 075) (v9.0),OSEM 075,"nausea , nauseou",50,nausea rate compar ozemp rybelsu    includ mi letter osem 040 respons,"safety,rybelsus,ozempic,ae",Safety vs Ozempic (OSEM 143) (v5.0),OSEM 143,"safeti , rybelsu , ozemp , ae",50,nausea rate compar ozemp rybelsu    includ mi letter osem 040 respons,"cv,rybelsus,ozempic,semglutide,indication",Rybelsus vs Ozempic-CV Indication (OSEM 133) (v5.0),OSEM 133,"cv , rybelsu , ozemp , semglutid , indic",40
51,REQ-43650,Saxenda,SEOB 047,This is for saxenda and wegovy - dr wants to know what information we have to share on treating NASH with our products she has a lot of pts with NASH and she has read about GLP-1 use in those pts,not accurate,saenda wegovi    dr want know inform share treat nash product lot pt nash read glp1 use pt,"switching,switch,wegovy,semaglutide",Switching from GLP-1 RAs (SAX 102) (v5.0),SAX 102,"switch , switch , wegovi , semaglutid",33.33333333,saenda wegovi    dr want know inform share treat nash product lot pt nash read glp1 use pt,"bariatric surgery,anti-obesity medications,saxenda,wegovy",Bariatric Surgery (GOBS 001) (v1.0),GOBS 001,"bariatr surgeri , anti - obes medic , saxenda , wegovi",25,saenda wegovi    dr want know inform share treat nash product lot pt nash read glp1 use pt,"summary,overview,information,monograph",Product Overview (SAX 025) (v7.0),SAX 025,"summari , overview , inform , monograph",25
52,,Saxenda,SAX 042,This is for saxenda and wegovy - dr wants to know what information we have to share on treating NASH with our products she has a lot of pts with NASH and she has read about GLP-1 use in those pts,not accurate,saenda wegovi    dr want know inform share treat nash product lot pt nash read glp1 use pt,"switching,switch,wegovy,semaglutide",Switching from GLP-1 RAs (SAX 102) (v5.0),SAX 102,"switch , switch , wegovi , semaglutid",33.33333333,saenda wegovi    dr want know inform share treat nash product lot pt nash read glp1 use pt,"bariatric surgery,anti-obesity medications,saxenda,wegovy",Bariatric Surgery (GOBS 001) (v1.0),GOBS 001,"bariatr surgeri , anti - obes medic , saxenda , wegovi",25,saenda wegovi    dr want know inform share treat nash product lot pt nash read glp1 use pt,"summary,overview,information,monograph",Product Overview (SAX 025) (v7.0),SAX 025,"summari , overview , inform , monograph",25
53,REQ-43651,Wegovy,SAX 012,"What are the long term side effects of chronic GLP1RA use, specifically on the pancreas/metabolically?",not accurate,long term effect chronic glp1ra use    specif pancrea metabol,"long-term,longest,duration,longer,long,step 5",Long-Term Data (SEOB 088) (v3.0),SEOB 088,"long - term , long , durat , long , long , step 5",25,long term effect chronic glp1ra use    specif pancrea metabol,"cancer,neoplasm,pancreas,pancreatic",Pancreatic Cancer (SEOB 021) (v4.0),SEOB 021,"cancer , neoplasm , pancrea , pancreat",25,long term effect chronic glp1ra use    specif pancrea metabol,"adverse,adverse event,common,adverse reaction,side effect",Adverse Reactions-Clinical Trials (SEOB 064) (v2.0),SEOB 064,"advers , advers event , common , advers reaction , effect",20
54,,Wegovy,SAX 013,"What are the long term side effects of chronic GLP1RA use, specifically on the pancreas/metabolically?",not accurate,long term effect chronic glp1ra use    specif pancrea metabol,"long-term,longest,duration,longer,long,step 5",Long-Term Data (SEOB 088) (v3.0),SEOB 088,"long - term , long , durat , long , long , step 5",25,long term effect chronic glp1ra use    specif pancrea metabol,"cancer,neoplasm,pancreas,pancreatic",Pancreatic Cancer (SEOB 021) (v4.0),SEOB 021,"cancer , neoplasm , pancrea , pancreat",25,long term effect chronic glp1ra use    specif pancrea metabol,"adverse,adverse event,common,adverse reaction,side effect",Adverse Reactions-Clinical Trials (SEOB 064) (v2.0),SEOB 064,"advers , advers event , common , advers reaction , effect",20
55,REQ-43652,Ozempic,SEM 091,Are there any studies using Ozempic with Type1 and Type 1.5 Diabetics?,not accurate,studi ozemp type1 type 15 diabet,"type 1,diabetes,t1dm,t1d",Type 1 Diabetes (SEM 090) (v12.0),SEM 090,"type 1,diabet , t1 dm , t1d",50,studi ozemp type1 type 15 diabet,"ozempic,semaglutide injection,drug,interaction",Drug Interactions (SEM 158) (v10.0),SEM 158,"ozemp , semaglutid inject , drug , interact",25,studi ozemp type1 type 15 diabet,"type 1 diabetes mellitus,type 1 diabetes,type 1,t1d,t1dm",Type 1 Diabetes (GLP1 008) (v3.0),GLP1 008,"type 1 diabet mellitu , type 1 diabet , type 1,t1d , t1 dm",20
56,,Ozempic,SEM 090,Are there any studies using Ozempic with Type1 and Type 1.5 Diabetics?,accurate with one of docID,studi ozemp type1 type 15 diabet,"type 1,diabetes,t1dm,t1d",Type 1 Diabetes (SEM 090) (v12.0),SEM 090,"type 1,diabet , t1 dm , t1d",50,studi ozemp type1 type 15 diabet,"ozempic,semaglutide injection,drug,interaction",Drug Interactions (SEM 158) (v10.0),SEM 158,"ozemp , semaglutid inject , drug , interact",25,studi ozemp type1 type 15 diabet,"type 1 diabetes mellitus,type 1 diabetes,type 1,t1d,t1dm",Type 1 Diabetes (GLP1 008) (v3.0),GLP1 008,"type 1 diabet mellitu , type 1 diabet , type 1,t1d , t1 dm",20
57,REQ-43654,Wegovy,SAX 051,This is for saxenda and wegovy - dr is asking for what is the long term data for both saxenda and wegovy as far as pts maintaining therapy and what is the results of patients coming off therapy and how much weight did those pts regain once coming off ther,not accurate,saenda wegovi    dr ask long term datum saenda wegovi far pt maintain therapi result patient come therapi weight pt regain come ther,"bariatric surgery,anti-obesity medications,saxenda,wegovy",Bariatric Surgery (GOBS 001) (v1.0),GOBS 001,"bariatr surgeri , anti - obes medic , saxenda , wegovi",25,saenda wegovi    dr ask long term datum saenda wegovi far pt maintain therapi result patient come therapi weight pt regain come ther,"long-term,longest,duration,longer,long,step 5",Long-Term Data (SEOB 088) (v3.0),SEOB 088,"long - term , long , durat , long , long , step 5",25,saenda wegovi    dr ask long term datum saenda wegovi far pt maintain therapi result patient come therapi weight pt regain come ther,"step,overview,slide,clinical,pi",Clinical Overview of Wegovy (SEOB 601) (v1.0),SEOB 601,"step , overview , slide , clinic , pi",20
58,,Wegovy,SEOB 042,This is for saxenda and wegovy - dr is asking for what is the long term data for both saxenda and wegovy as far as pts maintaining therapy and what is the results of patients coming off therapy and how much weight did those pts regain once coming off ther,not accurate,saenda wegovi    dr ask long term datum saenda wegovi far pt maintain therapi result patient come therapi weight pt regain come ther,"bariatric surgery,anti-obesity medications,saxenda,wegovy",Bariatric Surgery (GOBS 001) (v1.0),GOBS 001,"bariatr surgeri , anti - obes medic , saxenda , wegovi",25,saenda wegovi    dr ask long term datum saenda wegovi far pt maintain therapi result patient come therapi weight pt regain come ther,"long-term,longest,duration,longer,long,step 5",Long-Term Data (SEOB 088) (v3.0),SEOB 088,"long - term , long , durat , long , long , step 5",25,saenda wegovi    dr ask long term datum saenda wegovi far pt maintain therapi result patient come therapi weight pt regain come ther,"step,overview,slide,clinical,pi",Clinical Overview of Wegovy (SEOB 601) (v1.0),SEOB 601,"step , overview , slide , clinic , pi",20
59,,Wegovy,SEOB 088,This is for saxenda and wegovy - dr is asking for what is the long term data for both saxenda and wegovy as far as pts maintaining therapy and what is the results of patients coming off therapy and how much weight did those pts regain once coming off ther,accurate with one of docID,saenda wegovi    dr ask long term datum saenda wegovi far pt maintain therapi result patient come therapi weight pt regain come ther,"bariatric surgery,anti-obesity medications,saxenda,wegovy",Bariatric Surgery (GOBS 001) (v1.0),GOBS 001,"bariatr surgeri , anti - obes medic , saxenda , wegovi",25,saenda wegovi    dr ask long term datum saenda wegovi far pt maintain therapi result patient come therapi weight pt regain come ther,"long-term,longest,duration,longer,long,step 5",Long-Term Data (SEOB 088) (v3.0),SEOB 088,"long - term , long , durat , long , long , step 5",25,saenda wegovi    dr ask long term datum saenda wegovi far pt maintain therapi result patient come therapi weight pt regain come ther,"step,overview,slide,clinical,pi",Clinical Overview of Wegovy (SEOB 601) (v1.0),SEOB 601,"step , overview , slide , clinic , pi",20
60,REQ-43655,Saxenda,SAX 047,What is the pediatric data for Saxenda? Would like to see studies,accurate with one of docID,pediatr datum saenda like studi,"pediatrics,teens,adolescents,children,pediatric",Pediatrics (SAX 047) (v9.0),SAX 047,"pediatr , teen , adolesc , child , pediatr",25,pediatr datum saenda like studi,excursion,Cover to Excursion Data for Novo Nordisk Products (GEN 123) (v6.0),GEN 123,excurs,0,pediatr datum saenda like studi,"niosh,hazardous",NIOSH Classification (Lira) (GLP1 300) (v6.0),GLP1 300,"niosh , hazard",0
61,REQ-43658,Ozempic,SEM 105,"Is there data that can be emailed to help support prescribing Ozempic for a patient with type 2 diabetes where the patient had an inadequate A1C response with Metformin and insulin. Also, the patient has a family history of cardiovascular disease.",not accurate,datum email help support prescrib ozemp patient type 2 diabet patient inadequ a1c respons metformin insulin    patient famili histori cardiovascular diseas,"cv,cardiovascular",SUSTAIN 6-CV Outcomes in Subgroup of Patients with CV Risk Factors (SEM 165) (v3.0),SEM 165,"cv , cardiovascular",50,datum email help support prescrib ozemp patient type 2 diabet patient inadequ a1c respons metformin insulin    patient famili histori cardiovascular diseas,"kapitza,beta,insulin,response",Cover to Kapitza et al. (Insulin Response) (SEM 151) (v5.0),SEM 151,"kapitza , beta , insulin , respons",50,datum email help support prescrib ozemp patient type 2 diabet patient inadequ a1c respons metformin insulin    patient famili histori cardiovascular diseas,"cardiovascular,indication,cv",CV Indication (SEM 153) (v6.0),SEM 153,"cardiovascular , indic , cv",33.33333333
62,,Ozempic,SEM 106,"Is there data that can be emailed to help support prescribing Ozempic for a patient with type 2 diabetes where the patient had an inadequate A1C response with Metformin and insulin. Also, the patient has a family history of cardiovascular disease.",not accurate,datum email help support prescrib ozemp patient type 2 diabet patient inadequ a1c respons metformin insulin    patient famili histori cardiovascular diseas,"cv,cardiovascular",SUSTAIN 6-CV Outcomes in Subgroup of Patients with CV Risk Factors (SEM 165) (v3.0),SEM 165,"cv , cardiovascular",50,datum email help support prescrib ozemp patient type 2 diabet patient inadequ a1c respons metformin insulin    patient famili histori cardiovascular diseas,"kapitza,beta,insulin,response",Cover to Kapitza et al. (Insulin Response) (SEM 151) (v5.0),SEM 151,"kapitza , beta , insulin , respons",50,datum email help support prescrib ozemp patient type 2 diabet patient inadequ a1c respons metformin insulin    patient famili histori cardiovascular diseas,"cardiovascular,indication,cv",CV Indication (SEM 153) (v6.0),SEM 153,"cardiovascular , indic , cv",33.33333333
63,REQ-43659,Ozempic,SEM 124,"Dr Castaneda would like more information on converting a patient from Rybelsus to Ozempic? Is these a dose equivalency when switching a patient from a maintenance dose (7 or 14mg)  of Rybelsus to Ozempic (.25, .5, or 1mg)?",accurate with one of docID,dr castaneda like inform convert patient rybelsu ozemp dose equival switch patient mainten dose    7 14 mg     rybelsu ozemp    25    5    1 mg,"switching,switch,convert,converting,conversion,transition,transitioning,switches,converts,transitions,",Switching from GLP-1 (SEM 124) (v10.0),SEM 124,"switch , switch , convert , convert , convers , transit , transit , switch , convert , transit ,",50,dr castaneda like inform convert patient rybelsu ozemp dose equival switch patient mainten dose    7 14 mg     rybelsu ozemp    25    5    1 mg,"dosing,guidelines,guideline,missed dose",Dosing-Guidelines (SEM 017) (v6.0),SEM 017,"dose , guidelin , guidelin , miss dose",33.33333333,dr castaneda like inform convert patient rybelsu ozemp dose equival switch patient mainten dose    7 14 mg     rybelsu ozemp    25    5    1 mg,"missed,change,missed,dose,dosing",Dosing-Missed Dose (SEM 011) (v7.0),SEM 011,"miss , chang , miss , dose , dose",33.33333333
64,REQ-43661,Saxenda,SEOB 009,"What is Novo currently studying for pediatric patients living with obesity or experiencing weight gain? Provider sees a need, especially with adolescents on antipsychotic medications.",not accurate,novo current studi pediatr patient live obes eperi weight gain provid see need    especi adolesc antipsychot medic,"adolescent,adolescents,teens",Adolescents with Obesity (SCALE TEENS) (SAX 103) (v2.0),SAX 103,"adolesc , adolesc , teen",50,novo current studi pediatr patient live obes eperi weight gain provid see need    especi adolesc antipsychot medic,"efficacy,weight,",Weight (SAX 004) (v6.0),SAX 004,"efficaci , weight ,",50,novo current studi pediatr patient live obes eperi weight gain provid see need    especi adolesc antipsychot medic,"pediatrics,teens,adolescents,children,pediatric",Pediatrics (SAX 047) (v9.0),SAX 047,"pediatr , teen , adolesc , child , pediatr",50
65,REQ-43662,Saxenda,SAX 061,Inquiry Text: This is for saxenda and wegovy - dr is asking for what is the long term data for both saxenda and wegovy as far as pts maintaining therapy and what is the results of patients coming off therapy and how much weight did those pts regain once c,not accurate,inquiri tet saenda wegovi    dr ask long term datum saenda wegovi far pt maintain therapi result patient come therapi weight pt regain c,regain,Weight Regain After Discontinuation (SAX 051) (v5.0),SAX 051,regain,100,inquiri tet saenda wegovi    dr ask long term datum saenda wegovi far pt maintain therapi result patient come therapi weight pt regain c,"efficacy,weight,",Weight (SAX 004) (v6.0),SAX 004,"efficaci , weight ,",50,inquiri tet saenda wegovi    dr ask long term datum saenda wegovi far pt maintain therapi result patient come therapi weight pt regain c,"switching,switch,wegovy,semaglutide",Switching from GLP-1 RAs (SAX 102) (v5.0),SAX 102,"switch , switch , wegovi , semaglutid",33.33333333
66,REQ-43671,Rybelsus,OSEM 021,Doctor requested any additional information on whether Rybelsus is safe in patients with diminished egfr of less then 30.,not accurate,doctor request addit inform rybelsu safe patient diminish egfr 30,"ddi,di,interaction,levothyroxine,thyroid,omeprazole,ppi",Media-Drug Interactions Video (OSEM 3009) (v2.0),OSEM 3009,"ddi , di , interact , levothyroxin , thyroid , omeprazol , ppi",28.57142857,doctor request addit inform rybelsu safe patient diminish egfr 30,"safety,rybelsus,ozempic,ae",Safety vs Ozempic (OSEM 143) (v5.0),OSEM 143,"safeti , rybelsu , ozemp , ae",25,doctor request addit inform rybelsu safe patient diminish egfr 30,"cv,rybelsus,ozempic,semglutide,indication",Rybelsus vs Ozempic-CV Indication (OSEM 133) (v5.0),OSEM 133,"cv , rybelsu , ozemp , semglutid , indic",20
